"playlist_genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","decade","duration_sec"
"rap",0.712,0.772,10,-3.024,0,0.346,0.0521,4.35e-06,0.0368,0.848,84.722,"2000s",249.48
"rap",0.677,0.698,3,-5.793,0,0.352,0.0935,0,0.0511,0.83,78.443,"2000s",288.573
"rap",0.738,0.674,1,-2.299,1,0.28,0.275,0,0.344,0.575,78.929,"2000s",288.867
"rap",0.67,0.788,11,-2.43,0,0.0445,0.00225,0,0.11,0.292,82.498,"2000s",179.467
"rap",0.727,0.74,2,-3.401,1,0.153,0.012,0,0.294,0.221,82.031,"2000s",242.227
"rap",0.534,0.63,5,-7.048,0,0.191,0.0915,0,0.489,0.484,174.199,"2010s",190.293
"r&b",0.599,0.423,8,-7.075,1,0.0914,0.208,0.000834,0.0773,0.893,139.636,"2010s",221.942
"rap",0.6,0.634,10,-7.079,1,0.388,0.228,0,0.303,0.256,131.635,"2010s",204.148
"rap",0.777,0.901,11,-10.789,0,0.168,0.00106,0,0.428,0.577,133.011,"1990s",248.133
"rock",0.484,0.84,1,-5.509,1,0.0315,0.104,0,0.114,0.783,139.952,"2000s",236.107
"latin",0.635,0.902,0,-3.559,1,0.109,0.172,0,0.125,0.286,102.063,"2010s",217.822
"r&b",0.931,0.387,1,-9.127,1,0.412,0.088,0,0.136,0.376,125.978,"2010s",179.405
"latin",0.931,0.387,1,-9.127,1,0.412,0.088,0,0.136,0.376,125.978,"2010s",179.405
"latin",0.719,0.825,5,-3.627,0,0.0424,0.689,0,0.103,0.789,100.006,"2010s",206.55
"rap",0.774,0.604,5,-9.64,0,0.251,0.133,0,0.328,0.725,158.07,"2010s",182.357
"r&b",0.792,0.605,2,-6.566,1,0.0393,0.00881,4.25e-05,0.104,0.239,139.917,"2010s",261.703
"r&b",0.581,0.315,5,-11.947,0,0.0781,0.389,1.68e-05,0.0766,0.185,61.381,"2010s",246.088
"r&b",0.773,0.564,1,-7.241,1,0.249,0.00561,1.99e-05,0.213,0.0588,155.976,"2010s",211.96
"r&b",0.755,0.535,2,-5.088,1,0.0476,0.00292,4.99e-06,0.104,0.38,123.961,"2010s",263.013
"r&b",0.557,0.573,5,-6.005,1,0.286,0.623,0.00433,0.104,0.328,160.215,"2010s",205.5
"r&b",0.554,0.521,0,-8.727,0,0.295,0.565,0.00627,0.111,0.239,83.911,"2010s",215.68
"r&b",0.759,0.634,5,-6.609,0,0.096,0.539,0.000228,0.183,0.444,156.02,"2010s",177.172
"r&b",0.646,0.549,1,-6.515,0,0.0704,0.1,2.06e-05,0.12,0.241,127.994,"2010s",198.442
"r&b",0.663,0.557,5,-8.998,0,0.209,0.105,1.41e-05,0.178,0.188,95.213,"2010s",249.68
"r&b",0.568,0.368,11,-12.486,0,0.447,0.321,0.000618,0.121,0.0544,79.697,"2010s",183.454
"r&b",0.425,0.406,4,-8.911,0,0.176,0.73,3.59e-06,0.107,0.124,184.061,"2010s",286.957
"r&b",0.417,0.58,9,-4.574,1,0.207,0.0307,1.45e-06,0.179,0.139,68.58,"2010s",246.773
"r&b",0.61,0.458,9,-11.336,1,0.36,0.696,0.000103,0.0852,0.246,192.099,"2010s",240.342
"r&b",0.6,0.319,0,-10.272,1,0.294,0.692,0.00958,0.137,0.507,141.96,"2010s",250.001
